FLORIDA DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,,,
SCHOOL MEMBERSHIP BY GRADE,,,,,,,,,,,,,,,,,,
SCHOOL YEAR 2012-13,,,,,,,,,,,,,,,,,,
SURVEY 2 DATA as of 11/25/12 ,,,,,,,,,,,,,,,,,,
A blank cell indicates no population for the subgroup.,,,,,,,,,,,,,,,,,,
# cells indicate subgroup population fewer than 10,,,,,,,,,,,,,,,,,,
DISTRICT #,DISTRICT,SCHOOL #,SCHOOL,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,TOTAL MEMBERSHIP
3,BAY,71,MERRITT BROWN MIDDLE SCHOOL,, , , , , , ,286,272,249, , , , ,807
3,BAY,81,HUTCHISON BEACH ELEMENTARY SCH,36,127,108,126,116,103,138, , , , , , , ,754
3,BAY,91,CEDAR GROVE ELEMENTARY SCHOOL,56,92,80,74,80,58,82, , , , , , , ,522
3,BAY,101,CALLAWAY ELEMENTARY SCHOOL,47,84,93,106,78,62,78, , , , , , , ,548
3,BAY,111,MERRIAM CHERRY STREET ELEM.,17,79,83,62,66,67,56, , , , , , , ,430
3,BAY,131,LUCILLE MOORE ELEMENTARY SCHL,42,113,88,69,73,71,68, , , , , , , ,524
3,BAY,141,EVERITT MIDDLE SCHOOL,, , , , , , ,292,256,256, , , , ,804
3,BAY,151,HILAND PARK ELEMENTARY SCHOOL,58,153,121,121,131,91,117, , , , , , , ,792
3,BAY,161,JINKS MIDDLE SCHOOL,, , , , , , ,196,214,219, , , , ,629
3,BAY,171,LYNN HAVEN ELEMENTARY SCHOOL,58,110,119,113,104,127,105, , , , , , , ,736
3,BAY,191,OAKLAND TERRACE SCHL FOR VIS,30,57,54,50,75,46,51, , , , , , , ,363
3,BAY,201,SURFSIDE MIDDLE SCHOOL,, , , , , , ,236,246,343, , , , ,825
3,BAY,211,PARKER ELEMENTARY SCHOOL,37,103,115,105,115,90,77, , , , , , , ,642
3,BAY,221,SOUTHPORT ELEMENTARY SCHOOL,38,67,70,67,59,62,57, , , , , , , ,420
3,BAY,231,SPRINGFIELD ELEMENTARY SCHOOL,32,75,72,80,83,59,69, , , , , , , ,470
3,BAY,241,ST. ANDREW SCHOOL,#,15,20,21,17,25,14, , , , , , , ,118
3,BAY,251,WALLER ELEMENTARY SCHOOL,43,86,81,72,79,76,89, , , , , , , ,526
3,BAY,281,MARGARET K. LEWIS IN MILLVILLE,#,#,#,#,#,#,11,#,11,10,#,11,#,42,145
3,BAY,291,OSCAR PATTERSON ELEM MAGNET,16,69,76,69,72,49,52, , , , , , , ,403
3,BAY,331,MOWAT MIDDLE SCHOOL,, , , , , , ,328,339,283, , , , ,950
3,BAY,341,RUTHERFORD HIGH SCHOOL,, , , , , , , , , ,364,311,341,317,"1,333"
3,BAY,461,DEER POINT ELEMENTARY SCHOOL,25,81,71,72,63,58,58, , , , , , , ,428
3,BAY,471,NORTHSIDE ELEMENTARY SCHOOL,57,127,114,99,100,88,98, , , , , , , ,683
3,BAY,481,TOM P. HANEY VOC-TECH CENTER,, , , , , , , , , , , , ,#,#
3,BAY,491,A. CRAWFORD MOSLEY HIGH SCHOOL,, , , , , , , , , ,415,425,424,386,"1,650"
3,BAY,501,TYNDALL ELEMENTARY SCHOOL,60,153,133,140,123,112,98, , , , , , , ,819
3,BAY,511,TOMMY SMITH ELEMENTARY SCHOOL,66,123,108,126,105,98,118, , , , , , , ,744
3,BAY,521,PATRONIS ELEMENTARY SCHOOL,50,141,150,127,119,114,104, , , , , , , ,805
3,BAY,531,NEW HORIZONS LEARNING CENTER,, , , , , , ,20,13,19,18,19,11,#,103
3,BAY,541,DEANE BOZEMAN SCHOOL,36,43,57,52,58,49,58,112,111,122,154,127,129,113,"1,221"
3,BAY,551,J.R. ARNOLD HIGH SCHOOL,, , , , , , , , , ,388,364,304,306,"1,362"
3,BAY,571,BREAKFAST POINT ACADEMY,#,144,149,154,120,164,143,175,119, , , , , ,"1,172"
3,BAY,581,ROSENWALD HIGH SCHOOL,14, , , , , , , , ,26,39,77,66,69,291
3,BAY,591,C C WASHINGTON ACADEMY,, , , , , , ,18,42,68, , , , ,128
3,BAY,602,BAY REG.JUVENILE DETENTION CTR,, , , , , , , ,#,#,#,#,#, ,12
3,BAY,604,PANAMA CITY MARINE INSTITUTE,, , , , , , ,#,11,24,16,22,#,#,92
3,BAY,701,BAY HAVEN CHARTER ACADEMY,,108,108,108,108,128,130, , , , , , , ,690
3,BAY,711,BAY HAVEN CHARTER MIDDLE SCHOO,, , , , , , ,181,173,163, , , , ,517
3,BAY,731,NORTH BAY HAVEN CHARTER ACADEM,, , , , , , ,89,124,111, , , , ,324
3,BAY,741,NORTH BAY HAVEN CAREER ACADEMY,, , , , , , , , , ,148,144,102,#,395
3,BAY,751,NORTH BAY HAVEN CHARTER ACADEM,,72,72,72,72,88,66, , , , , , , ,442
3,BAY,771,NEWPOINT BAY CHARTER HIGH SCHO,, , , , , , , , , ,30,22,17,39,108
3,BAY,781,CHAUTAUQUA CHARTER SCHOOL,, , , , , , , , , , , , ,48,48
3,BAY,791,NEWPOINT MIDDLE SCHOOL,, , , , , , ,46,73,79, , , , ,198
3,BAY,2701,RISING LEADERS ACADEMY,,23,18,17,13,13, , , , , , , , ,84
3,BAY,2711,"UNIVERSITY ACADEMY (SABL, INC.",,36,37,35,28, , , , , , , , , ,136
3,BAY,7001,BAY VIRTUAL INSTRUCTION PROGRA,,#,#,#,12,#,#,#,#,#,#,#, , ,54
3,BAY,7004,BAY VIRTUAL FRANCHISE,, , , , , , , , , , ,#,12,47,60
3,BAY,9002,EXCEPTIONAL STUDENT EDUCATION,#, , , , , , , , , , , , , ,#
4,BRADFORD,21,BRADFORD HIGH SCHOOL,, , , , , , , , , ,218,215,215,151,799
4,BRADFORD,51,STARKE ELEMENTARY SCHOOL,53,85,89,87,68,70,87, , , , , , , ,539
4,BRADFORD,81,SOUTHSIDE ELEMENTARY SCHOOL,56,102,94,87,90,82,87, , , , , , , ,598
4,BRADFORD,121,RAINBOW CENTER,52, , , , , , , , , , , , , ,52
4,BRADFORD,131,LAWTEY ELEMENTARY SCHOOL,18,38,38,35,30,25,39,#, , , , , , ,231
4,BRADFORD,161,BROOKER ELEMENTARY SCHOOL,10,27,29,22,24,15,17, , , , , , , ,144
4,BRADFORD,172,BRADFORD MIDDLE SCHOOL,, , , , , , ,247,236,249, , , , ,732
4,BRADFORD,181,HAMPTON ELEMENTARY SCHOOL,18,20,22,23,29,17,19, , , , , , , ,148
4,BRADFORD,201,BRADFORD INTERVENTION CENTER,, , , , , ,#,#,#,#,#,#,#,#,21
4,BRADFORD,7004,BRADFORD VIRTUAL FRANCHISE,, , , , , , ,#,#,#, , ,#, ,#
4,BRADFORD,7023,BRADFORD VIRTUAL INSTRUC (DIST,,#, , , , ,#, , , , , , , ,#
5,BREVARD,11,TITUSVILLE HIGH SCHOOL,#, , , , , , , , , ,359,327,297,291,"1,282"
5,BREVARD,51,OAK PARK ELEMENTARY SCHOOL,32,113,89,91,92,89,87,93,#, , , , , ,687
5,BREVARD,52,JAMES MADISON MIDDLE SCHOOL,, , , , , , , ,247,251, , , , ,498
5,BREVARD,61,APOLLO ELEMENTARY SCHOOL,#,95,77,111,108,102,105,109, , , , , , ,710
5,BREVARD,72,RIVERVIEW SCHOOL,66, , , , , , , , , , , , , ,66
5,BREVARD,73,SOUTH AREA HEAD START,33, , , , , , , , , , , , , ,33
5,BREVARD,89,FIELDSTON PREPARATORY SCHOOL,, , ,#, ,#,#,#,#,10,12,10,#,#,62
5,BREVARD,91,COQUINA ELEMENTARY SCHOOL,34,99,69,69,86,66,67,65, , , , , , ,555
5,BREVARD,101,MIMS ELEMENTARY SCHOOL,31,66,64,54,62,73,62,67, , , , , , ,479
