"Student Membership by Grade, 2009-10",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,MEMBERSHIP
3,BAY,191,OAKLAND TERRACE SCHL FOR VIS,23,65,65,61,50,57,54,0,0,0,0,0,0,0,375
3,BAY,201,SURFSIDE MIDDLE SCHOOL,0,0,0,0,0,0,0,340,358,334,0,0,0,0,"1,032"
3,BAY,211,PARKER ELEMENTARY SCHOOL,33,126,119,103,103,97,96,0,0,0,0,0,0,0,677
3,BAY,221,SOUTHPORT ELEMENTARY SCHOOL,36,68,75,72,72,60,73,0,0,0,0,0,0,0,456
3,BAY,231,SPRINGFIELD ELEMENTARY SCHOOL,30,79,83,73,78,90,82,0,0,0,0,0,0,0,515
3,BAY,241,ST. ANDREW SCHOOL,4,4,5,5,12,13,19,21,0,0,0,0,0,0,83
3,BAY,251,WALLER ELEMENTARY SCHOOL,41,100,93,83,98,105,110,0,0,0,0,0,0,0,630
3,BAY,281,MARGARET K. LEWIS EXCEP SCHOOL,17,8,4,11,6,8,8,7,8,5,12,10,12,37,153
3,BAY,291,OSCAR PATTERSON ELEM MAGNET,38,92,63,80,80,69,56,0,0,0,0,0,0,0,478
3,BAY,331,MOWAT MIDDLE SCHOOL,0,0,0,0,0,0,0,341,333,364,0,0,0,0,"1,038"
3,BAY,341,RUTHERFORD HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,433,312,328,306,"1,379"
3,BAY,471,NORTHSIDE ELEMENTARY SCHOOL,50,123,103,113,92,112,90,0,0,0,0,0,0,0,683
3,BAY,491,A. CRAWFORD MOSLEY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,443,536,493,472,"1,944"
3,BAY,501,TYNDALL ELEMENTARY SCHOOL,54,142,133,139,127,105,79,0,0,0,0,0,0,0,779
3,BAY,511,TOMMY SMITH ELEMENTARY SCHOOL,58,121,144,149,130,125,141,0,0,0,0,0,0,0,868
3,BAY,521,PATRONIS ELEMENTARY SCHOOL,57,125,109,92,113,120,114,0,0,0,0,0,0,0,730
3,BAY,531,NEW HORIZONS LEARNING CENTER,0,0,0,0,0,0,0,5,19,19,14,13,19,11,100
3,BAY,541,DEANE BOZEMAN SCHOOL,39,59,57,51,55,53,55,123,130,144,182,126,126,116,"1,316"
3,BAY,551,J.R. ARNOLD HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,393,346,340,288,"1,367"
3,BAY,571,BREAKFAST POINT ACADEMY,67,120,141,119,141,129,131,1,0,0,0,0,0,0,849
3,BAY,581,ROSENWALD HIGH SCHOOL,9,0,0,0,0,0,0,0,0,46,54,70,67,80,326
3,BAY,602,BAY REG.JUVENILE DETENTION CTR,0,0,0,0,0,0,0,1,2,4,8,5,2,2,24
3,BAY,604,PANAMA CITY MARINE INSTITUTE,0,0,0,0,0,0,0,8,21,21,25,17,5,4,101
3,BAY,605,HOPE SCHOOL,0,0,0,0,0,0,0,3,2,6,11,5,4,1,32
3,BAY,701,BAY HAVEN CHARTER ACADEMY,0,90,90,90,108,110,130,0,0,0,0,0,0,0,618
3,BAY,711,BAY HAVEN CHARTER MIDDLE SCHOO,0,0,0,0,0,0,0,150,150,150,0,0,0,0,450
3,BAY,771,NEWPOINT BAY CHARTER HIGH SCHO,0,0,0,0,0,0,0,0,0,0,81,98,52,0,231
3,BAY,781,CHAUTAUQUA CHARTER SCHOOL,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47
3,BAY,7001,VIRTUAL SCHOOL,0,0,2,3,2,4,2,6,8,3,0,3,5,1,39
4,BRADFORD,21,BRADFORD HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,234,253,210,175,872
4,BRADFORD,51,STARKE ELEMENTARY SCHOOL,32,77,79,74,79,78,80,0,0,0,0,0,0,0,499
4,BRADFORD,81,SOUTHSIDE ELEMENTARY SCHOOL,41,109,89,90,100,93,80,0,0,0,0,0,0,0,602
4,BRADFORD,121,RAINBOW CENTER,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50
4,BRADFORD,131,LAWTEY ELEMENTARY SCHOOL,21,37,39,44,39,36,35,21,0,0,0,0,0,0,272
4,BRADFORD,161,BROOKER ELEMENTARY SCHOOL,15,25,15,27,22,15,21,0,0,0,0,0,0,0,140
4,BRADFORD,172,BRADFORD MIDDLE SCHOOL,0,0,0,0,0,0,0,227,220,219,0,0,0,0,666
4,BRADFORD,181,HAMPTON ELEMENTARY SCHOOL,18,26,23,25,27,28,15,0,0,0,0,0,0,0,162
4,BRADFORD,191,RENAISSANCE CENTER,0,0,0,0,0,0,0,2,2,4,2,0,1,0,11
4,BRADFORD,7001,BRADFORD VIRTUAL SCHOOL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,BREVARD,11,TITUSVILLE HIGH SCHOOL,14,0,0,0,0,0,0,0,0,0,379,375,315,342,"1,425"
5,BREVARD,51,OAK PARK ELEMENTARY SCHOOL,30,79,95,88,84,88,100,98,2,0,0,0,0,0,664
5,BREVARD,52,JAMES MADISON MIDDLE SCHOOL,0,0,0,0,0,0,0,0,313,266,0,0,0,0,579
5,BREVARD,61,APOLLO ELEMENTARY SCHOOL,14,113,94,111,116,109,94,110,0,0,0,0,0,0,761
5,BREVARD,71,RIVERVIEW ELEMENTARY SCHOOL,28,70,49,57,56,50,53,42,0,0,0,0,0,0,405
5,BREVARD,89,FIELDSTON PREPARATORY SCHOOL,0,0,0,3,4,5,3,7,10,13,12,6,8,0,71
5,BREVARD,91,COQUINA ELEMENTARY SCHOOL,34,70,65,56,52,52,55,47,0,0,0,0,0,0,431
5,BREVARD,101,MIMS ELEMENTARY SCHOOL,20,57,79,62,71,65,72,63,0,0,0,0,0,0,489
5,BREVARD,121,SOUTH LAKE ELEMENTARY SCHOOL,16,63,63,64,51,45,56,48,0,0,0,0,0,0,406
5,BREVARD,141,ANDREW JACKSON MIDDLE SCHOOL,0,0,0,0,0,0,0,0,349,287,0,0,0,0,636
5,BREVARD,151,IMPERIAL ESTATES ELEM. SCHOOL,1,95,84,92,102,84,97,98,0,0,0,0,0,0,653
5,BREVARD,161,ASTRONAUT HIGH SCHOOL,0,0,0,0,0,0,0,0,0,1,345,343,265,275,"1,229"
5,BREVARD,181,PINEWOOD ELEMENTARY SCHOOL,22,59,58,42,58,51,55,60,0,0,0,0,0,0,405
5,BREVARD,191,CHALLENGER 7 ELEMENTARY SCHOOL,9,73,70,55,67,68,62,85,0,0,0,0,0,0,489
5,BREVARD,201,ATLANTIS ELEMENTARY SCHOOL,12,84,80,80,91,103,108,129,0,0,0,0,0,0,687
5,BREVARD,301,ENTERPRISE ELEMENTARY SCHOOL,4,74,109,108,110,126,113,125,0,0,0,0,0,0,769
5,BREVARD,302,SPACE COAST JR/SR HIGH SCHOOL,0,0,0,0,0,0,0,0,307,250,368,336,293,279,"1,833"
5,BREVARD,1001,CROSSWINDS/RAINWATER FOR GIRLS,0,0,0,0,0,0,0,0,0,3,2,6,0,0,11
5,BREVARD,1002,CENTER FOR DRUG FREE LIVING,0,0,0,0,0,0,1,3,10,11,4,1,0,0,30
5,BREVARD,1011,ROCKLEDGE SENIOR HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,391,290,246,277,"1,204"
5,BREVARD,1016,NORTH AREA ALTERNATIVE LEARNIN,0,0,0,0,0,0,0,0,13,6,9,2,1,0,31
5,BREVARD,1017,CENTRAL AREA ALTERNATIVE LEARN,0,0,0,0,0,0,0,0,12,16,18,12,4,4,66
5,BREVARD,1018,SOUTH AREA ALTERNATIVE LEARNIN,0,0,0,0,0,0,0,3,8,26,22,17,7,7,90
5,BREVARD,1020,OUTWARD BOUND,0,0,0,0,0,0,0,0,2,6,0,4,2,0,14
5,BREVARD,1021,ESE INFANTS AND TODDLERS,491,1,0,0,0,0,0,0,0,0,1,0,0,0,493
5,BREVARD,1025,BREVARD COUNTY JUV.DET.CTR.,0,0,0,0,0,0,0,2,4,9,12,3,1,3,34
5,BREVARD,1026,FRANCES WALKER HALFWAY HOUSE,0,0,0,0,0,0,0,0,1,2,15,7,4,1,30
5,BREVARD,1027,SPACE COAST MARINE INSTITUTE,0,0,0,0,0,0,0,0,3,1,15,10,3,1,33
5,BREVARD,1028,DEVEREUX HOSPITAL,0,0,0,0,0,3,0,3,3,5,11,10,2,2,39
5,BREVARD,1029,RIVERDALE COUNTRY DAY SCHOOL,0,0,1,1,4,8,10,14,13,18,8,11,11,17,116
5,BREVARD,1031,CLEARLAKE MIDDLE SCHOOL,0,0,0,0,0,0,0,0,202,203,0,0,0,0,405
5,BREVARD,1032,HORACE MANN ACADEMY,0,0,1,4,8,6,7,8,16,12,19,14,11,7,113
5,BREVARD,1041,CAMBRIDGE ELEM MAGNET SCHOOL,53,81,88,72,68,63,58,52,0,0,0,0,0,0,535
5,BREVARD,1051,ENDEAVOUR ELEMENTARY MAGNET,65,99,90,75,96,67,45,44,0,0,0,0,0,0,581
5,BREVARD,1071,GOLFVIEW ELEMENTARY MAGNET SCH,47,88,94,77,99,88,71,67,0,0,0,0,0,0,631
5,BREVARD,1081,RONALD MCNAIR MAGNET MIDDLE,0,0,0,0,0,0,0,0,272,199,0,0,0,0,471
5,BREVARD,1091,FAIRGLEN ELEMENTARY SCHOOL,1,107,114,111,110,106,96,87,0,0,0,0,0,0,732
5,BREVARD,1101,JOHN F. KENNEDY MIDDLE SCHOOL,0,0,0,0,0,0,0,0,356,355,0,0,0,0,711
5,BREVARD,1121,COCOA HIGH SCHOOL,14,0,0,0,0,0,0,0,0,0,329,242,212,233,"1,030"
5,BREVARD,1131,SATURN ELEMENTARY SCHOOL,77,108,101,100,100,79,92,81,0,0,0,0,0,0,738
5,BREVARD,1141,HANS CHRISTIAN ANDERSEN ELEMEN,1,119,104,89,105,89,97,113,0,0,0,0,0,0,717
5,BREVARD,1151,RALPH M WILLIAMS JR ELEMENTARY,5,122,119,117,126,98,105,104,0,0,0,0,0,0,796
5,BREVARD,1161,MANATEE ELEMENTARY,30,136,161,149,139,125,145,133,0,0,0,0,0,0,"1,018"
5,BREVARD,1171,VIERA HIGH SCHOOL,18,0,0,0,0,0,0,0,0,0,566,540,449,453,"2,026"
5,BREVARD,2011,MELBOURNE SENIOR HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,587,518,412,464,"1,981"
5,BREVARD,2021,PALM BAY SENIOR HIGH SCHOOL,34,0,0,0,0,0,0,0,0,0,510,509,507,548,"2,108"
5,BREVARD,2031,MEADOWLANE INTERMEDIATE ELEMEN,0,0,0,0,0,190,163,187,0,0,0,0,0,0,540
5,BREVARD,2041,MEADOWLANE PRIMARY ELEMENTARY,5,228,178,145,185,0,0,0,0,0,0,0,0,0,741
5,BREVARD,2042,W. MELBOURNE ELEMENTARY SCHOOL,1,54,54,54,54,66,66,65,0,0,0,0,0,0,414
5,BREVARD,2051,UNIVERSITY PARK ELEMENTARY SCH,62,88,63,66,66,49,63,59,0,0,0,0,0,0,516
5,BREVARD,2061,PORT MALABAR ELEMENTARY SCHOOL,1,90,99,100,97,111,102,115,0,0,0,0,0,0,715
5,BREVARD,2071,STONE MIDDLE SCHOOL,0,0,0,0,0,0,0,0,342,320,0,0,0,0,662
5,BREVARD,2081,PALM BAY ELEMENTARY SCHOOL,73,115,98,85,90,96,72,72,0,0,0,0,0,0,701
